TransactionID,CustomerID,Product,Category,Region,SalesAmount,Cost,Quantity,TransactionDate,Profit
1,4174,Tablet,Electronics,West,1338.8,766.63,9,2023-07-18,572.17
2,4507,Smartphone,Electronics,North,58.42,397.74,2,2024-03-14,-339.32
3,1860,Keyboard,Accessories,East,1229.52,459.29,3,2023-05-30,770.23
4,2294,Mouse,Accessories,East,558.07,607.26,3,2023-02-19,-49.18999999999994
5,2130,Tablet,Electronics,West,1091.65,817.56,5,2023-12-06,274.09000000000015
6,2095,Smartphone,Accessories,South,588.53,711.15,3,2024-09-27,-122.62
7,4772,Tablet,Accessories,South,929.06,1121.26,8,2024-06-14,-192.20000000000005
8,4092,Mouse,Electronics,East,987.83,762.13,7,2024-08-06,225.70000000000005
9,2638,Laptop,Electronics,West,637.24,1095.63,1,2023-05-26,-458.3900000000001
10,3169,Monitor,Electronics,North,793.54,36.35,6,2023-02-19,757.1899999999999
11,1466,Smartphone,Accessories,South,1103.15,1071.95,2,2024-07-14,31.200000000000045
12,2238,Keyboard,Electronics,South,740.64,874.11,8,2024-09-02,-133.47000000000003
13,1330,Laptop,Accessories,North,70.27,231.47,8,2024-02-03,-161.2
14,2482,Smartphone,Accessories,North,68.71,337.75,7,2024-01-11,-269.04
15,3135,Laptop,Accessories,West,1008.9,665.09,8,2023-01-23,343.80999999999995
16,4444,Keyboard,Accessories,North,1278.49,176.18,1,2023-03-17,1102.31
17,4171,Smartphone,Electronics,North,1188.65,948.88,8,2024-09-16,239.7700000000001
18,3919,Mouse,Accessories,North,500.08,955.67,1,2023-10-10,-455.59
19,4735,Mouse,Electronics,East,733.14,382.11,3,2023-01-06,351.03
20,1130,Keyboard,Accessories,North,389.53,111.69,4,2023-10-07,277.84
21,2685,Tablet,Electronics,South,1484.27,1186.95,3,2024-08-20,297.31999999999994
22,4380,Keyboard,Electronics,West,427.73,323.35,2,2024-01-28,104.38
23,1769,Tablet,Electronics,West,653.58,109.04,3,2024-03-21,544.5400000000001
24,3391,Smartphone,Accessories,West,1037.64,416.06,9,2023-03-11,621.5800000000002
25,2515,Tablet,Accessories,East,1320.23,1163.73,2,2024-04-18,156.5
26,4485,Smartphone,Accessories,South,124.64,957.73,5,2023-11-30,-833.09
27,3853,Smartphone,Electronics,North,486.48,591.99,3,2024-04-28,-105.50999999999999
28,3433,Monitor,Accessories,South,875.03,387.24,9,2023-06-25,487.78999999999996
29,2215,Smartphone,Accessories,West,946.55,525.27,7,2023-08-19,421.28
30,1955,Tablet,Accessories,North,151.54,50.32,3,2023-03-28,101.22
31,3324,Monitor,Electronics,West,1012.91,870.49,2,2024-01-24,142.41999999999996
32,2184,Monitor,Accessories,West,815.69,146.58,2,2024-09-11,669.11
33,1459,Smartphone,Accessories,West,1250.06,637.27,5,2024-12-19,612.79
34,4385,Keyboard,Electronics,South,372.17,692.04,9,2023-07-01,-319.86999999999995
35,1021,Keyboard,Electronics,South,332.79,31.98,2,2024-02-26,300.81
36,3300,Mouse,Electronics,West,1200.34,1176.46,2,2024-10-20,23.87999999999988
37,1747,Monitor,Electronics,West,1070.61,383.5,8,2024-03-28,687.1099999999999
38,3904,Smartphone,Electronics,North,1197.93,120.35,3,2023-07-20,1077.5800000000002
39,4632,Keyboard,Electronics,West,1183.8,1029.63,3,2024-08-05,154.16999999999985
40,1474,Smartphone,Accessories,West,200.8,207.78,6,2023-01-24,-6.97999999999999
41,2082,Smartphone,Accessories,West,453.95,59.2,6,2024-05-16,394.75
42,3558,Monitor,Electronics,West,427.12,608.79,6,2023-12-02,-181.66999999999996
43,4753,Mouse,Accessories,South,1405.15,182.0,5,2024-10-11,1223.15
44,3047,Monitor,Electronics,West,756.83,1179.43,4,2024-04-13,-422.6
45,4547,Laptop,Accessories,East,211.03,42.18,9,2023-05-29,168.85
46,3747,Keyboard,Electronics,West,469.89,89.9,4,2024-07-29,379.99
47,1975,Keyboard,Electronics,South,1314.26,1004.94,1,2023-05-21,309.31999999999994
48,2806,Keyboard,Accessories,East,1278.25,310.51,8,2023-09-04,967.74
49,1189,Tablet,Accessories,East,1355.49,1096.57,8,2023-03-12,258.9200000000001
